"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",2,1,1,1,55,2,15,155,90,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,2,2,65.71,3,1125,100,93,10,10,10,10,9,9,"valencia"
"Entire home/apt",4,1,0,1,80,3,59,3,93,10,9,10,10,9,9,"sevilla"
"Entire home/apt",2,1,1,1,65,1,1125,34,91,9,9,9,9,10,9,"madrid"
"Entire home/apt",4,1,1,2,50,7,7,3,100,10,10,10,10,10,10,"girona"
"Entire home/apt",6,2,3,4,62,3,1125,10,98,10,10,10,10,9,9,"mallorca"
"Entire home/apt",5,1,1,3,40,7,1125,3,80,8,8,9,9,9,9,"girona"
"Shared room",2,1,1,2,35,2,1125,5,100,10,9,10,10,10,9,"malaga"
"Entire home/apt",4,1,1,2,67,1,30,14,100,10,10,10,10,9,10,"madrid"
"Private room",2,1,1,1,45,2,1125,38,97,10,10,10,10,10,10,"barcelona"
"Private room",2,1,1,2,46,2,30,73,95,10,10,10,9,9,10,"barcelona"
"Entire home/apt",5,2,3,4,159,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,2,45,2,10,1,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",2,1,1,1,40,3,1125,2,100,10,10,9,9,9,10,"madrid"
"Entire home/apt",6,1,2,4,52,2,999,155,95,10,9,10,10,10,10,"valencia"
"Entire home/apt",2,1,1,1,60,2,1125,113,94,10,9,10,10,10,9,"girona"
"Entire home/apt",7,2,3,5,200,2,30,2,50,9,6,8,7,10,5,"sevilla"
"Entire home/apt",6,1,2,2,80,4,30,9,100,10,10,10,10,10,9,"girona"
"Entire home/apt",8,2,4,5,70,3,1125,3,93,9,9,10,10,10,9,"girona"
"Entire home/apt",4,1,1,2,58,1,1125,0,92,9,9,10,10,10,9,"sevilla"
"Entire home/apt",6,2,3,6,125,2,1125,51,94,10,9,10,10,9,10,"malaga"
"Entire home/apt",10,2,5,10,59,5,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,1,1,2,160,4,1125,1,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,1,3,6,65,7,1125,14,86,9,9,9,10,9,8,"menorca"
"Entire home/apt",2,1,1,1,60,7,60,1,100,10,10,10,10,10,8,"mallorca"
"Entire home/apt",6,2,3,3,349,3,1125,6,97,10,10,9,10,9,10,"mallorca"
"Entire home/apt",5,2,3,4,75,4,180,28,96,10,10,10,10,10,10,"mallorca"
"Private room",1,2,1,1,40,1,25,0,92,9,9,10,10,10,9,"valencia"
"Private room",2,1,1,1,58,1,1125,15,79,8,10,9,9,9,9,"girona"
"Entire home/apt",4,1,1,3,55,2,30,19,92,9,9,10,10,9,9,"malaga"
"Private room",2,1,1,1,50,3,7,39,97,10,10,10,10,10,10,"barcelona"
"Entire home/apt",6,1,2,3,82,32,280,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,1,1,1,89,3,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,1,2,75,3,60,75,91,9,10,9,10,10,9,"sevilla"
"Entire home/apt",7,2,3,6,128,7,1125,1,80,10,10,10,10,10,10,"girona"
"Private room",1,1,1,1,172,1,6,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",4,1,1,2,55,2,31,51,95,10,9,10,10,10,9,"valencia"
"Entire home/apt",6,1,3,4,32,1,1125,215,84,9,8,9,10,9,8,"malaga"
"Entire home/apt",6,1,4,4,140,32,1000,4,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",10,3,4,5,135,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,1,2,5,125,2,30,4,100,10,10,10,10,10,10,"girona"
"Entire home/apt",4,2,1,3,70,2,30,74,96,10,10,10,10,10,9,"madrid"
"Private room",2,1,1,2,100,2,1125,3,100,10,10,10,10,10,9,"menorca"
"Entire home/apt",7,2,3,6,73,2,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",3,2,1,1,18,1,30,197,89,9,9,9,10,9,9,"malaga"
"Private room",2,1,1,1,44,4,500,92,95,10,9,10,10,10,9,"barcelona"
"Private room",1,1,1,1,123,1,1125,1,80,8,10,10,10,10,10,"barcelona"
"Entire home/apt",6,2,3,6,216,4,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,3,4,89,2,31,7,97,9,10,10,10,9,9,"malaga"
"Entire home/apt",4,1,1,2,58,1,1125,1,60,4,10,2,10,10,4,"madrid"
"Private room",2,1,1,1,45,2,10,12,98,10,10,10,10,10,10,"barcelona"
"Private room",2,1,1,1,28,3,1125,87,90,9,9,10,10,9,9,"barcelona"
"Private room",2,1,1,1,35,1,1125,20,99,10,10,10,10,10,10,"barcelona"
"Shared room",1,2,1,4,10,1,1125,67,89,9,9,9,9,9,9,"barcelona"
"Entire home/apt",2,1,1,2,95,3,1125,1,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",4,1,2,3,50,5,30,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",4,1,2,3,145,3,1125,3,67,7,9,7,7,7,7,"barcelona"
"Private room",2,1,1,2,45,4,1125,28,87,9,9,9,10,9,9,"barcelona"
"Entire home/apt",12,5,5,7,365,7,1125,1,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",6,2,3,6,195,3,365,179,96,10,9,10,10,10,9,"barcelona"
"Entire home/apt",8,1,3,5,200,6,1125,30,94,10,9,10,10,10,9,"barcelona"
"Entire home/apt",14,4,7,13,310,2,21,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,25,1,7,3,93,10,10,10,10,10,9,"valencia"
"Entire home/apt",4,1,1,2,1262,1,365,0,92,9,9,10,10,10,9,"madrid"
"Private room",2,2,1,2,60,2,1125,53,98,10,10,10,10,10,10,"madrid"
"Entire home/apt",6,1,3,4,70,7,27,2,70,6,8,6,8,6,6,"mallorca"
"Entire home/apt",4,1,1,4,45,2,30,234,80,8,8,9,9,9,8,"barcelona"
"Entire home/apt",2,1,1,1,49,2,1125,37,95,10,10,10,9,10,9,"madrid"
"Entire home/apt",6,2,3,3,75,7,9,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,0,2,70,2,1125,47,81,9,9,9,9,8,8,"madrid"
"Entire home/apt",6,1,3,4,90,2,1124,12,95,10,10,10,10,10,9,"girona"
"Entire home/apt",10,4,5,9,334,7,730,1,100,10,10,10,10,10,8,"mallorca"
"Private room",1,2,1,1,160,2,5,0,92,9,9,10,10,10,9,"madrid"
"Private room",1,1,1,1,35,60,75,156,96,10,10,10,10,10,10,"malaga"
"Entire home/apt",5,1,2,3,80,4,1125,0,92,9,9,10,10,10,9,"menorca"
"Entire home/apt",4,1,1,1,95,3,365,4,90,10,9,9,10,10,9,"madrid"
"Private room",6,2,3,6,20,2,1125,9,82,9,8,9,9,8,8,"madrid"
"Private room",1,1,1,1,49,2,6,60,98,10,10,10,10,10,10,"barcelona"
"Entire home/apt",8,2,4,7,90,2,1125,1,100,10,10,10,10,8,8,"malaga"
"Private room",2,2,1,1,12,1,1125,4,85,8,9,9,9,8,9,"barcelona"
"Entire home/apt",2,3,1,1,200,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,2,85,2,1125,36,86,9,9,8,8,10,9,"madrid"
"Entire home/apt",8,2,4,6,160,4,100,37,91,10,9,10,10,9,9,"girona"
